brand,model,2G_bands,3G_bands,4G_bands,weight_g,SIM,display_size(inches),Pixel_height,Pixel_width,OS,CPU(core),internal_memory(GB),RAM(GB),primary_camera(MP),secondary_camera(MP),audio_jack,WIFI,bluetooth,GPS,radio,Battery(Mah),Aprox Price INR
BLU,Studio X Mini,Yes,Yes,Yes,122,Dual,4.5,480,854,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,Yes,1800,9600
BLU,Life Mark,Yes,Yes,Yes,150,Dual,5,720,1280,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2300,12266
BLU,Studio One Plus,Yes,Yes,Yes,175,Dual,5.5,1080,1920,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,3200,17066
BLU,Studio One,Yes,Yes,Yes,147,Dual,5,720,1280,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2450,13066
BLU,Dash X Plus LTE,Yes,Yes,Yes,190,Dual,5.5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2750,14666
BLU,Energy X LTE,Yes,Yes,Yes,183,Dual,5,720,1280,Android,4,16,1,8,5,Yes,Yes,Yes,Yes,Yes,4000,21333
BLU,Life XL,Yes,Yes,Yes,168,Dual,5.5,720,1280,Android,8,8,01-Feb,13,5,Yes,Yes,Yes,Yes,Yes,2820,15040
BLU,Studio 5.5 HD,Yes,Yes,No,183,Dual,5.5,720,1280,Android,4,8,1,5,5,Yes,Yes,Yes,Yes,Yes,2500,13333
BLU,Energy X 2,Yes,Yes,No,190,Dual,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,4000,21333
BLU,Neo X Plus,Yes,Yes,No,162,Dual,5.5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2500,13333
BLU,Studio G HD,Yes,Yes,No,133,Dual,5,720,1280,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Studio M HD,Yes,Yes,No,150,Dual,5,720,1280,Android,4,16,1,8,2,Yes,Yes,Yes,Yes,Yes,145,6400
BLU,Studio C HD,Yes,Yes,No,176,Dual,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Vivo XL,Yes,Yes,Yes,154,Dual,5.5,720,1280,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,3150,16800
BLU,Vivo 5,Yes,Yes,Yes,110,Dual,5.5,720,1280,Android,8,32,3,13,5,Yes,Yes,Yes,Yes,Yes,3150,19200
BLU,Life One X (2016),Yes,Yes,Yes,141,Dual,5.2,1080,1920,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2900,15466
BLU,Studio G Plus,Yes,Yes,No,154,Dual,5.5,480,854,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,Yes,2800,14933
BLU,Dash X LTE,Yes,Yes,Yes,157,Dual,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2500,13333
BLU,Studio 7.0 LTE,Yes,Yes,Yes,266,Dual,7,720,1280,Android,4,16,1,8,2,Yes,Yes,Yes,Yes,Yes,3700,19733
BLU,Dash L,Yes,Yes,No,122,Dual,4,480,800,Android,2,4,1,3.15,1,Yes,Yes,Yes,Yes,Yes,115,613
BLU,Studio G LTE,Yes,Yes,Yes,149,Dual,5,480,854,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,2500,13333
BLU,Dash M,Yes,Yes,No,157,Dual,5,480,854,Android,4,4,768,5,2,Yes,Yes,Yes,Yes,Yes,1800,9600
BLU,Dash X,Yes,Yes,No,148,Dual,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Studio Energy 2,Yes,Yes,Yes,176,Dual,5,720,1280,Android,4,16,1.5,8,5,Yes,Yes,Yes,Yes,Yes,5000,26666
BLU,Dash X Plus,Yes,Yes,No,190,Dual,5.5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2750,14666
BLU,Energy X,Yes,Yes,No,154,Dual,5,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,4000,21333
BLU,Pure XL,Yes,Yes,Yes,207,Dual,6,1440,2560,Android,8,64,3,24,8,Yes,Yes,Yes,Yes,Yes,3500,24800
BLU,Vivo Air LTE,Yes,Yes,Yes,98,Nano,4.8,720,1280,Android,4,16,2,8,5,Yes,Yes,Yes,Yes,Yes,2050,10933
BLU,Studio XL,Yes,Yes,No,177,Dual,6,540,960,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,3000,8800
BLU,Life X8,Yes,Yes,No,149,Dual,5,720,1280,Android,8,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2500,13333
BLU,Touchbook G7,Yes,Yes,No,298,Micro,7,600,1024,Android,2,4,1,2,1,Yes,Yes,Yes,Yes,Yes,3000,16000
BLU,Studio 7.0 II,Yes,Yes,No,248,Mini,7,600,1024,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,Yes,3450,18400
BLU,Studio C Super Camera,Yes,Yes,No,126,Dual,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2800,14933
BLU,Vivo Selfie,Yes,Yes,No,111,Dual,4.8,720,1280,Android,4,8,1,8,8,Yes,Yes,Yes,Yes,Yes,2300,12266
BLU,Energy X Plus,Yes,Yes,No,169,Dual,5.5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,4000,21333
BLU,Studio C 5 + 5 LTE,Yes,Yes,Yes,157,Dual,5,480,854,Android,4,8,1,5,5,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Studio C 5 + 5,Yes,Yes,No,157,Dual,5,480,854,Android,4,8,1,5,5,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Life 8 XL,Yes,Yes,No,149,Dual,5.5,720,1280,Android,8,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2920,15573
BLU,Studio 5.5C,Yes,Yes,No,178,Dual,5.5,480,854,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,2820,15040
BLU,Studio C,Yes,Yes,No,172,Dual,5,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,3000,16000
BLU,Advance 4.0 L,Yes,Yes,No,121,Dual,4,480,800,Android,2,4,1,3.15,1,Yes,Yes,Yes,Yes,Yes,1300,6933
BLU,Selfie,Yes,Yes,No,136,Dual,4.7,720,1280,Android,8,16,2,13,13,Yes,Yes,Yes,Yes,Yes,2300,12266
BLU,Win HD LTE,Yes,Yes,Yes,146,Dual,5,720,1280,Microsoft,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2500,13333
BLU,Win JR LTE,Yes,Yes,Yes,138,Dual,4.5,480,854,Microsoft,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Life One (2015),Yes,Yes,Yes,120,Dual,5,720,1280,Android,4,8,1,13,5,Yes,Yes,Yes,Yes,Yes,2420,9600
BLU,Life One XL,Yes,Yes,Yes,151,Dual,5.5,720,1280,Android,4,8,1,13,5,Yes,Yes,Yes,Yes,Yes,2820,15040
BLU,Studio Energy,Yes,Yes,No,180,Dual,5,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,5000,11200
BLU,Studio G,Yes,Yes,No,156,Dual,5,480,854,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,6400
BLU,Studio X Plus,Yes,Yes,No,170,Dual,5.5,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2600,13866
BLU,Studio X,Yes,Yes,No,154,Dual,5,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2100,9600
BLU,Vivo Air,Yes,Yes,No,97,Micro,4.8,720,1280,Android,8,16,1,8,5,Yes,Yes,Yes,Yes,Yes,2100,15200
BLU,Studio 6.0 LTE,Yes,Yes,Yes,177,Dual,6,1080,1920,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,3200,16800
BLU,Studio 5.0 HD LTE,Yes,Yes,Yes,164,Micro,5,720,1280,Android,4,8,1,13,5,Yes,Yes,Yes,Yes,Yes,2200,12000
BLU,Studio Mini LTE,Yes,Yes,Yes,145,Micro,4.5,480,854,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1850,9866
BLU,Studio 7.0,Yes,Yes,No,299,Mini,7,600,1024,Android,2,8,1,5,2,Yes,Yes,Yes,Yes,Yes,3000,10400
BLU,Sport 4.5,Yes,Yes,No,157,Dual,4.5,480,854,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Life View 8.0,Yes,Yes,No,350,Yes,8,768,1024,Android,4,8,1,3.15,1,Yes,Yes,Yes,Yes,Yes,3800,20266
BLU,Life Play Mini,Yes,Yes,No,106,Dual,4,480,800,Android,2,4,1,3.15,1,Yes,Yes,Yes,Yes,Yes,1400,5600
BLU,Dash Music JR,Yes,No,No,121,Dual,4,480,800,Android,2,1,256,2,1,Yes,Yes,Yes,Yes,Yes,115,613
BLU,Dash C Music,Yes,Yes,No,121,Dual,4,480,800,Android,2,4,1,3.15,1,Yes,Yes,Yes,Yes,Yes,115,613
BLU,Win JR,Yes,Yes,No,125,Dual,4,480,800,Microsoft,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1950,10400
BLU,Win HD,Yes,Yes,No,139,Dual,5,720,1280,Microsoft,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2200,12000
BLU,Studio 5.0 C HD,Yes,Yes,No,166,Dual,5,720,1280,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,145,8800
BLU,Studio C Mini,Yes,Yes,No,156,Dual,4.7,480,800,Android,4,4,1,5,2,Yes,Yes,Yes,Yes,Yes,145,773
BLU,Studio 5.0 C,Yes,Yes,No,170,Dual,5,480,854,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1800,6400
BLU,Studio 5.0 CE,Yes,No,No,171,Dual,5,480,854,Android,2,4,1,3.15,1,Yes,Yes,Yes,Yes,Yes,1800,9600
BLU,Vivo IV,Yes,Yes,No,129,Micro,5,1080,1920,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2300,20800
BLU,Life 8,Yes,Yes,No,136,Dual,5,720,1280,Android,8,8,1,8,2,Yes,Yes,Yes,Yes,Yes,145,12000
BLU,Life Pure XL,Yes,Yes,No,152,Micro,5.5,1080,1920,Android,4,32,0,16,8,Yes,Yes,Yes,Yes,Yes,2500,23200
BLU,Studio 5.0 LTE,Yes,Yes,Yes,162,Micro,5,540,960,Android,4,4,1,8,1.6,Yes,Yes,Yes,Yes,Yes,2200,11733
BLU,Studio 6.0 HD,Yes,Yes,No,206,Dual,6,720,1280,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,3000,14400
BLU,Neo 4.5,Yes,Yes,No,135,Dual,4.5,480,854,Android,2,4,1,3.15,1,Yes,Yes,Yes,Yes,Yes,1800,5600
BLU,Neo 3.5,Yes,Yes,No,101,Dual,3.5,320,480,Android,2,1,256,1.3,0,Yes,Yes,Yes,Yes,Yes,1300,5600
BLU,Studio 5.0 S II,Yes,Yes,No,155,Dual,5,540,960,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,145,9600
BLU,Studio 5.0 E,Yes,No,No,174,Dual,5,480,854,Android,2,4,1,3.15,0,Yes,Yes,Yes,Yes,Yes,2100,5600
BLU,Studio 5.5 S,Yes,Yes,No,166,Dual,5.5,540,960,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,2350,10400
BLU,Life Pure Mini,Yes,Yes,No,149,Micro,4.5,720,1280,Android,4,16,1,8,2,Yes,Yes,Yes,Yes,Yes,3000,15200
BLU,Vivo 4.8 HD,Yes,Yes,No,135,Micro,4.8,720,1280,Android,4,16,1,8,5,Yes,Yes,Yes,Yes,Yes,145,12800
BLU,Life View Tab,Yes,Yes,No,404,Yes,8,768,1024,Android,4,8,1,5,5,Yes,Yes,Yes,Yes,No,4500,28800
BLU,Life Play S,Yes,Yes,No,109,Dual,4.7,720,1280,Android,4,4,1,8,5,Yes,Yes,Yes,Yes,Yes,1800,10400
BLU,Life One X,Yes,Yes,No,133,Dual,5,1080,1920,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,145,16800
BLU,Life One M,Yes,Yes,No,144,Dual,5,720,1280,Android,4,4,1,12,2,Yes,Yes,Yes,Yes,Yes,145,11200
BLU,Life Play X,Yes,Yes,No,125,Dual,4.7,720,1280,Android,4,16,1,8,2,Yes,Yes,Yes,Yes,Yes,1800,16000
BLU,Life Pure,Yes,Yes,No,128,Micro,5,1080,1920,Android,4,32,2,13,5,Yes,Yes,Yes,Yes,Yes,2020,19200
BLU,Studio 5.0 II,Yes,Yes,No,155,Dual,5,480,854,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,7200
BLU,Advance 4.0,Yes,Yes,No,124,Dual,4,480,800,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,170,6400
BLU,Life Pro,Yes,Yes,No,158,Mini,5,720,1280,Android,4,16,1,12,5,Yes,Yes,Yes,Yes,Yes,2500,16800
BLU,Studio 5.5,Yes,Yes,No,184,Dual,5.5,480,854,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,2250,9600
BLU,Samba W,Yes,No,No,80,Dual,2,176,220,No,1,1,64,1.3,0,Yes,Yes,Yes,No,Yes,820,1600
BLU,Samba TV,Yes,No,No,80,Dual,2,176,220,No,1,32,32,1,0,Yes,No,Yes,No,Yes,820,1600
BLU,Jenny TV 2.8,Yes,No,No,90,Dual,2.8,240,320,No,1,32,24,1.3,0,Yes,No,Yes,No,Yes,820,1600
BLU,Zoey,Yes,No,No,65,Dual,1.8,128,160,No,1,32,24,1,0,Yes,No,Yes,No,Yes,820,1600
BLU,Dash 5.0,Yes,Yes,No,128,Dual,5,480,854,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,8000
BLU,Dash Music 4.0,Yes,Yes,No,128,Dual,4,480,800,Android,2,4,1,3.15,0,Yes,Yes,Yes,Yes,Yes,160,6400
BLU,Dash JR,Yes,No,No,105,Dual,3.5,320,480,Android,1,1,256,2,0,Yes,Yes,Yes,Yes,Yes,1000,6400
BLU,Dash 4.5,Yes,Yes,No,144,Dual,4.5,480,854,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,8000
BLU,Amour,Yes,Yes,No,137,Dual,4,480,800,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,170,8000
BLU,Studio 5.3 S,Yes,Yes,No,190,Dual,5.3,540,960,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,2800,10400
BLU,Studio 5.0 S,Yes,Yes,No,170,Dual,5,540,960,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,145,10400
BLU,Studio 5.0,Yes,Yes,No,170,Dual,5,480,800,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,8000
BLU,Dash Music,Yes,Yes,No,120,Dual,3.5,320,480,Android,1,1,256,2,1,Yes,Yes,Yes,Yes,Yes,160,6400
BLU,Diva X,Yes,No,No,95,Dual,2.8,240,320,No,1,64,64,1.3,0,Yes,No,Yes,No,Yes,1400,2400
BLU,Diva,Yes,No,No,90,Dual,2.4,240,320,No,1,32,32,1,0,Yes,No,Yes,No,Yes,820,2400
BLU,Tattoo S,Yes,No,No,69,Dual,2,176,220,No,1,64,64,1.3,0,Yes,No,Yes,No,Yes,620,1600
BLU,Life View,Yes,Yes,No,220,Dual,5.7,720,1280,Android,4,16,1,12,5,Yes,Yes,Yes,Yes,Yes,2600,18400
BLU,Life One,Yes,Yes,No,145,Dual,5,720,1280,Android,4,16,1,13,5,Yes,Yes,Yes,Yes,Yes,145,18400
BLU,Life Play,Yes,Yes,No,125,Dual,4.7,720,1280,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,1800,14400
BLU,Studio 5.3 II,Yes,Yes,No,210,Dual,5.3,540,960,Android,2,4,1,8,2,Yes,Yes,Yes,Yes,Yes,2200,12800
BLU,Tank 4.5,Yes,Yes,No,136,Dual,4.5,540,960,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1760,16000
BLU,Quattro 5.7 HD,Yes,Yes,No,243,Mini,5.7,720,1280,Android,4,4,1,8,1.3,Yes,Yes,Yes,Yes,Yes,2800,17600
BLU,Quattro 4.5 HD,Yes,Yes,No,148,Mini,4.5,720,1280,Android,4,16,1,8,1.3,Yes,Yes,Yes,Yes,Yes,1800,20800
BLU,Quattro 4.5,Yes,Yes,No,145,Mini,4.5,540,960,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1800,14400
BLU,Hero II,Yes,No,No,90,Dual,3.5,320,480,No,1,1,64,1.3,0,Yes,Yes,Yes,No,Yes,1100,4000
BLU,Dash 4.0,Yes,Yes,No,128,Dual,4,480,800,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,160,7200
BLU,Dash 3.2,Yes,Yes,No,105,Dual,3.2,240,320,Android,1,1,256,1.3,0,Yes,Yes,Yes,Yes,Yes,1280,5600
BLU,Brooklyn,Yes,No,No,90,Triple,2.4,320,240,No,1,1,64,1.3,0,Yes,Yes,Yes,No,Yes,750,4000
BLU,Vivo 4.65 HD,Yes,Yes,No,130,Dual,4.65,720,1280,Android,2,4,1,8,1.3,Yes,Yes,Yes,Yes,Yes,170,16800
BLU,Touch Book 9.7, N/A,No,No,430,No,9.7,1024,768,Android,2,4,1,2,2,Yes,Yes,Yes,Yes,No,6000,14400
BLU,Touch Book 7.0 Plus,Yes,Yes,No,388,Mini,7,480,800,Android,1,1,1,3.15,1,Yes,Yes,Yes,Yes,Yes,3500,5600
BLU,Touch Book 7.0 Lite, N/A,No,No,340,No,7,480,800,Android,1,4,1,1,0,Yes,Yes,No,Yes,Yes,3000,5600
BLU,Dash 3.5,Yes,Yes,No,110,Dual,3.5,320,480,Android,2,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,1300,5600
BLU,Elite 3.8,Yes,Yes,No,137,Dual,3.8,480,800,Android,1,1,1,5,1,Yes,Yes,Yes,Yes,Yes,170,10400
BLU,Dash,Yes,Yes,No,96,Dual,2.8,240,320,Android,1,1,256,2,1,Yes,Yes,Yes,Yes,Yes,1110,5600
BLU,Hero,Yes,No,No,90,Dual,2.8,240,320,No,1,64,32,1.3,0,Yes,No,Yes,No,Yes,950,3200
BLU,Jenny TV,Yes,No,No,88,Dual,2.4,240,320,No,1,32,32,1,0,Yes,No,Yes,No,Yes,820,2400
BLU,Vivo 4.3,Yes,Yes,No,120,Dual,4.3,480,800,Android,2,4,1,8,1.3,Yes,Yes,Yes,Yes,Yes,170,13600
BLU,Tank,Yes,No,No,92,Dual,1.8,128,160,No,1,16,32,1,0,No,No,Yes,No,Yes,1800,1600
BLU,Jenny,Yes,No,No,73,Dual,1.8,128,160,No,1,16,32,1,0,No,No,Yes,No,Yes,900,1600
BLU,Studio 5.3,Yes,Yes,No,192,Dual,5.3,480,800,Android,1,1,1,5,1,Yes,Yes,Yes,Yes,Yes,2500,13600
BLU,Touch Book 7.0,Yes,Yes,No,382,Mini,7,480,800,Android,1,1,1,3.15,1,Yes,Yes,Yes,Yes,Yes,4250,9600
BLU,Neo Pro,Yes,No,No,120,Mini,2.8,240,320,No,1,1,256,3.15,0,Yes,Yes,Yes,No,Yes,900,4800
BLU,Neo XT,Yes,No,No,120,Mini,3,240,400,No,1,1,256,3.15,0,Yes,Yes,Yes,No,Yes,820,5600
BLU,Neo,Yes,No,No,120,Mini,2.8,240,320,No,1,1,64,2,0,Yes,No,Yes,No,Yes,820,5600
BLU,Deco Pro,Yes,No,No,75,Mini,2.6,320,240,No,1,1,256,3.2,0,Yes,Yes,Yes,No,Yes,120,4800
BLU,Deco XT,Yes,No,No,75,Mini,2.31,320,240,No,1,1,256,2,0,Yes,Yes,Yes,No,Yes,800,5600
BLU,Deco,Yes,No,No,73,Mini,2.31,320,240,No,1,1,64,2,0,Yes,No,Yes,No,Yes,800,4266
BLU,Deco Mini,Yes,No,No,75,Mini,2,220,176,No,1,64,32,1.3,0,Yes,No,Yes,No,Yes,850,2400
BLU,Electro,Yes,No,No,68,Mini,2.2,240,320,No,1,1,64,1.3,0,Yes,No,Yes,No,Yes,1050,3200
BLU,Spark,Yes,No,No,59,Mini,2.4,240,320,No,1,64,32,1.3,0,Yes,No,Yes,No,Yes,900,3200
BLU,Deejay Touch,Yes,No,No,70,Mini,2.6,240,320,No,1,1,64,1.3,0,Yes,No,Yes,No,Yes,750,3200
BLU,Deejay Flip,Yes,No,No,70,Mini,2,176,220,No,1,64,32,1.3,0,Yes,No,Yes,No,Yes,700,3733
BLU,Tattoo Mini,Yes,No,No,54,Mini,2,220,176,No,1,64,32,1.3,0,Yes,No,Yes,No,Yes,750,2400
BLU,Samba Elite,Yes,No,No,69,Mini,2,160,128,No,1,1,64,2,0,No,No,Yes,No,Yes,750,4000
BLU,Samba JR,Yes,No,No,75,Mini,1.77,160,128,No,1,64,32,0,0,Yes,No,No,No,Yes,850,2400
BLU,Lindy,Yes,No,No,50,Mini,1.77,160,128,No,1,64,32,0,0,Yes,No,No,No,Yes,750,4000
BLU,Swing,Yes,No,No,47,Mini,1.77,176,220,No,1,1,64,1.3,0,Yes,No,Yes,No,Yes,560,3200
BLU,Bar Q,Yes,No,No,48,Mini,1.77,128,160,No,1,64,32,1.3,0,Yes,No,Yes,No,Yes,800,4266
BLU,Magic,Yes,Yes,No,110,Mini,3.2,320,480,Android,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,115,8800
BLU,Touch,Yes,No,No,120,Dual,3.2,10,11,No,1,1,256,3.15,0,Yes,No,Yes,No,Yes,1000,5333
BLU,Diesel 3G,Yes,Yes,No,90,Mini,1.8,10,11,No,1,64,0,1,0,No,No,Yes,No,Yes,1000,4000
BLU,Deejay II,Yes,No,No,120,Dual,1.8,10,11,No,1,64,32,1,0,Yes,No,Yes,No,Yes,800,3200
BLU,Samba Q,Yes,No,No,120,Dual,1.8,10,11,No,1,64,32,1,0,Yes,No,No,No,Yes,800,4000
BLU,Ultra,Yes,No,No,110,Mini,1.31,96,64,No,1,16,0,0,0,No,No,No,No,Yes,500,2666
BLU,Tango,Yes,Yes,No,94,Mini,2.8,240,320,Android,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,120,8000
BLU,Speed,Yes,Yes,No,123,Dual,2.44,360,480,No,1,1,128,2,1,Yes,Yes,Yes,No,Yes,930,8000
BLU,Smart,Yes,Yes,No,102,Mini,3,10,11,No,1,52,0,2,1,No,Yes,Yes,No,Yes,800,4266
BLU,Cubo,Yes,No,No,110,Dual,2.4,10,11,No,1,50,0,2,0,Yes,Yes,Yes,No,Yes,800,5600
BLU,Flash,Yes,Yes,No,82,Mini,2,240,320,No,1,70,0,1,1,Yes,No,Yes,No,Yes,800,3200
BLU,Samba Mini,Yes,No,No,76,Dual,2,240,320,No,1,32,0,2,0,No,No,Yes,No,Yes,700,4000
BLU,Samba,Yes,No,No,96,Dual,1.8,10,11,No,1,16,0,1,0,No,No,Yes,No,Yes,750,2400
BLU,Tattoo,Yes,No,No,104,Dual,2,10,11,No,1,16,0,1,0,No,No,Yes,No,Yes,750,4000
BLU,Tattoo TV,Yes,No,No,104,Dual,2,10,11,No,1,16,0,1,0,No,No,Yes,No,Yes,750,4000
BLU,Disco2GO II,Yes,No,No,102,Dual,2,240,320,No,1,32,0,1,0,Yes,No,Yes,No,Yes,850,4800
BLU,Deejay,Yes,No,No,83,Dual,1.77,128,160,No,1,0,0,0,0,No,No,No,No,Yes,800,3200
BLU,Click,Yes,No,No,83,Dual,1.77,128,160,No,1,0,0,1,0,No,No,No,No,Yes,800,4266
BLU,Brilliant,Yes,No,No,102,Dual,2.2,240,320,No,1,32,0,2,0,No,No,Yes,No,Yes,800,4266
BLU,Slim TV,Yes,No,No,102,Dual,2.2,240,320,No,1,32,0,2,0,No,No,Yes,No,Yes,800,4266
BLU,TV2Go Lite,Yes,No,No,87,Dual,2,144,176,No,1,32,0,1,0,No,No,Yes,No,Yes,750,4000
BLU,TV2Go,Yes,No,No,87,Dual,2,144,176,No,1,32,0,1,0,No,No,Yes,No,Yes,750,4000
BLU,Texting 2 GO,Yes,No,No,104,Dual,2,10,11,No,1,32,0,1,0,No,No,Yes,No,Yes,850,4533
BLU,EZ2Go,Yes,No,No,120,Dual,2,10,11,No,1,16,0,1,0,No,No,No,No,Yes,750,4000
BLU,Kick,Yes,No,No,92,Dual,1.8,10,11,No,1,16,0,1,0,No,No,Yes,No,Yes,750,4000
BLU,Vida1,Yes,No,No,87,Dual,1.8,10,11,No,1,16,0,1,0,No,No,No,No,Yes,750,4000
BLU,Gol,Yes,No,No,92,Dual,1.8,10,11,No,1,16,0,1,0,No,No,Yes,No,Yes,750,4000
BLU,Dual SIM Lite,Yes,No,No,83,Dual,1.77,128,160,No,1,0,0,0,0,No,No,No,No,Yes,800,4266
Bosch,909 Dual S,Yes,No,No,109,Mini,,96,32,No,1,0,0,0,0,No,No,No,No,No,1000,5333
Bosch,909 Dual,Yes,No,No,99,Mini,,4,16,No,1,0,0,0,0,No,No,No,No,No,650,3466
Bosch,Com 908,Yes,No,No,99,Mini,,4,16,No,1,0,0,0,0,No,No,No,No,No,650,3466
Bosch,Com 509,Yes,No,No,150,Mini,,4,16,No,1,0,0,0,0,No,No,No,No,No,1000,5333
Bosch,World 718,Yes,No,No,189,Mini,,4,16,No,1,0,0,0,0,No,No,No,No,No,650,3466
Bosch,Com 738,Yes,No,No,189,Mini,,4,16,No,1,0,0,0,0,No,No,No,No,No,650,3466
Bosch,Com 906,Yes,No,No,145,Mini,,3,15,No,1,0,0,0,0,No,No,No,No,No,500,2666
Bosch,Com 608,Yes,No,No,169,Mini,,4,16,No,1,0,0,0,0,No,No,No,No,No,550,2933
Bosch,Com 607,Yes,No,No,189,Mini,,4,16,No,1,0,0,0,0,No,No,No,No,No,550,2933
Bosch,Com 207,Yes,No,No,179,Mini,,1,10,No,1,0,0,0,0,No,No,No,No,No,600,3200
BQ,Aquaris X Pro,Yes,Yes,Yes,158,Dual,5.2,1080,1920,Android,8,64,4,12,8,Yes,Yes,Yes,Yes,Yes,3100,29600
BQ,Aquaris X,Yes,Yes,Yes,153,Dual,5.2,1080,1920,Android,8,32,3,16,8,Yes,Yes,Yes,Yes,Yes,3100,23200
BQ,Aquaris U Lite,Yes,Yes,Yes,140,Dual,5,720,1280,Android,4,16,2,8,5,Yes,Yes,Yes,Yes,Yes,3080,12800
BQ,Aquaris U,Yes,Yes,Yes,140,Dual,5,720,1280,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,3080,15200
BQ,Aquaris U Plus,Yes,Yes,Yes,139,Dual,5,720,1280,Android,8,16,2,16,5,Yes,Yes,Yes,Yes,Yes,3050,17600
BQ,Aquaris X5 Plus,Yes,Yes,Yes,145,Dual,5,1080,1920,Android,8,16,2,16,8,Yes,Yes,Yes,Yes,Yes,3200,24000
BQ,Aquaris E5s,Yes,Yes,Yes,139,Dual,5,720,1280,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2850,16800
BQ,Aquaris X5,Yes,Yes,Yes,148,Dual,5,720,1280,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2900,18400
BQ,Aquaris M5,Yes,Yes,Yes,144,Dual,5,1080,1920,Android,8,16,02-Mar,13,5,Yes,Yes,Yes,Yes,Yes,3120,20800
